"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1900583290060570650","Fri Mar 14 16:22:22 +0000 2025","3","takut ada money talk disini. bukan ancaman tp kompensasi dari ksh ke keluarga. semoga berita yg beredar soal mendiang jadi sapi perah itu ga separah dugaan. semoga keluarga tulus mau memulihkan nama baik. semoga pelaku dihukum berat. semoga kim sae ron tenang disana","1900583290060570650","","","in","","0","0","0","https://x.com/jndicollite/status/1900583290060570650","2392000350","jndicollite"
"1900580459547185326","Fri Mar 14 16:11:07 +0000 2025","5"," Akun dgn 98K followers dpt ancaman dr Gold Medalist (agensi Kim Soo Hyun) gara2 membela Kim Sae Ron. → Agensi keliatan banget berusaha keras buat bersihin citra KSH. #KimSooHyun #KimSaeron","1900580459547185326","","","in","","0","0","1","https://x.com/poin_opini/status/1900580459547185326","1280164202","poin_opini"
"1900445595833110703","Fri Mar 14 16:05:10 +0000 2025","1","@tanyakanrl Dua Foto Baru Kim Soo-hyun dan Mendiang Kim Sae-ron Dibocorkan Ada Tangkapan Layar Chat Permintaan Tolong: Selamatkan Saya https://t.co/VaJhYXqslP","1900578963313070570","","tanyakanrl","in","","0","0","0","https://x.com/Jejeyki1/status/1900578963313070570","1747432245655478272","Jejeyki1"
"1900578800322425311","Fri Mar 14 16:04:31 +0000 2025","6","Video lama Kim Soohyun kembali muncul Tepatnya 2012. Ada ahli fisiognomi dan myeongrihak lagi baca wajah dan takdir Kim Soo Hyun. Dia bilang KSH punya mata yin yang (ukuran mata kanan &amp; kiri nggak simentris). Orang yang punya mata seperti ini dianggap pandai berbohong menipu. https://t.co/sH1lKxElHr","1900578800322425311","https://pbs.twimg.com/media/GmA2WLKbUAAEWRY.jpg","","in","","0","0","2","https://x.com/thvjungkook57_/status/1900578800322425311","1653319187039936513","thvjungkook57_"
"1900578199400271938","Fri Mar 14 16:02:08 +0000 2025","1","Bibi Kim Sae-ron Ungkap Fakta Baru Hubungan Mendiang dengan Kim Soo-hyun Sudah Sempat Bicara Tentang Pernikahan https://t.co/FQbYodIBAl #KimSaeron","1900578199400271938","","","in","","0","0","1","https://x.com/Jejeyki1/status/1900578199400271938","1747432245655478272","Jejeyki1"
"1900578131632898381","Fri Mar 14 16:01:52 +0000 2025","1","Surat Kim Soo-hyun untuk Kim Sae-ron Saat Wamil Dirilis Terungkap Panggilan Sayang Sang Aktor kepada Mendiang https://t.co/seqTbWDPHf #KimSooHyun","1900578131632898381","","","in","","0","0","1","https://x.com/Jejeyki1/status/1900578131632898381","1747432245655478272","Jejeyki1"
"1900578050355683681","Fri Mar 14 16:01:32 +0000 2025","1","Kim Soo-hyun Makin Dikuliti Postcard Paris Berisi Pesan untuk Mendiang Kim Sae-ron Diungkap ke Publik: I Love You https://t.co/OYyuzCPvzz #KimSooHyun","1900578050355683681","","","in","","0","0","2","https://x.com/Jejeyki1/status/1900578050355683681","1747432245655478272","Jejeyki1"
"1900577983297191990","Fri Mar 14 16:01:16 +0000 2025","1","Postingan Kim Sae-ron 9 Tahun Lalu Muncul Lagi Unggah Foto dengan Caption Mirip Panggilan Sayang dari Kim Soo-hyun yang Terbongkar di Surat Wamilnya https://t.co/g89ORwgXjI #KimSaeron","1900577983297191990","","","in","","0","0","1","https://x.com/Jejeyki1/status/1900577983297191990","1747432245655478272","Jejeyki1"
"1900424280229155041","Fri Mar 14 16:01:08 +0000 2025","13","@BucinnJaehyun Muka ksh cabul banget monyett","1900577949444870614","","BucinnJaehyun","in","","0","0","0","https://x.com/kimawritelism/status/1900577949444870614","1531969967272300545","kimawritelism"
"1900577913730453721","Fri Mar 14 16:01:00 +0000 2025","1","Punya Kontrak dengan Belasan Brand Besar Segini Perkiraan Denda yang Harus Dibayar Kim Soo-hyun Usai Berita Panasnya Terkait Mendiang Kim Sae-ron https://t.co/0V7B0y3rc3 #KimSooHyun","1900577913730453721","","","in","","0","0","1","https://x.com/Jejeyki1/status/1900577913730453721","1747432245655478272","Jejeyki1"
"1900577810810597381","Fri Mar 14 16:00:35 +0000 2025","1","Foto Baru Kim Soo-hyun dan mendiang Kim Sae-ron Dirilis Gold Medalist Masih Tetap Memilih Bungkam hingga Minggu Depan? https://t.co/2C4Mt0aq3i #KimSooHyun","1900577810810597381","","","in","","0","0","1","https://x.com/Jejeyki1/status/1900577810810597381","1747432245655478272","Jejeyki1"
"1900577795828535618","Fri Mar 14 16:00:32 +0000 2025","0","Kata gue mah kalo karir ksh (kim soehyun) dh kelar di SK mending ke sini aja. Masih banyak yg belain lo. Minimal bisa memulai karir jd narsum di podcast2 youtuber terkenal maksi dirumah sultan aiueo endingnya gabung sama circle cuci uwang bikin club ato ph ","1900577795828535618","","","in","","0","0","0","https://x.com/typing_fox/status/1900577795828535618","36676443","typing_fox"
"1900406381829906462","Fri Mar 14 15:59:50 +0000 2025","5","@coppamagz Kim saeron 3 tahun di fitnah diem aja gak kek KSH KSR salah dia gak akan hapus fotonya dulu... Malah spill lebih banyak foto ma video nyatanya dia milih ngalah lho... KSH lu yg punya utang banyak tuh eluuuuu!!!!! Lu utang banyak banget ke KSR!!!!!!","1900577621437780175","","coppamagz","in","","0","0","0","https://x.com/lucky_amma/status/1900577621437780175","1367134859274067971","lucky_amma"
"1900485025449275876","Fri Mar 14 15:57:23 +0000 2025","0","@bbearwooffy @Hsnmub @infodrakor_id Mungkin ibunya gamau kalo terjadi apa2 sama KSH nanti smua kebencian ditanggung keluarga KSR lg.","1900577004757610725","","bbearwooffy","in","","0","0","0","https://x.com/LKIMkimchi/status/1900577004757610725","2187721645","LKIMkimchi"
"1900400147034759293","Fri Mar 14 15:39:59 +0000 2025","0","@pcrsehunie Iya gua seneng bgt liat asbunnya ksh bengek itu","1900572627552665668","","pcrsehunie","in","","0","0","0","https://x.com/kim_kesyaa/status/1900572627552665668","2337786122","kim_kesyaa"
